date,monthly_listeners_millions,event,source
2021-04,2.4,Pre-Eurovision baseline,Chartmetric 6-Month Report 2021 H1
2021-06,29,~5 weeks after Eurovision win,Music Business Worldwide (13 Jul 2021 article, referencing two weeks prior)
2021-07-12,41,,Music Business Worldwide (13 Jul 2021)
2021-07-28,50.3,Peak; band becomes 14th-biggest artist on Spotify,Music Ally / Music Business Worldwide (28 Jul 2021)
2021-08-22,48.5,,Stream & Destroy Substack, Spotify Listenership for 600 Artists (Aug 2021)
2021-12,29,"""Almost 30 million"" per Music Week interview",Music Week (Dec 2021 issue)
